accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
0.091,1.565,1.422,-56.274,-108.826,-8.301
0.065,1.094,1.382,-43.640,-75.012,-29.053
0.045,0.971,1.265,-11.658,-45.837,0.366
0.078,1.207,1.183,19.897,-30.151,52.063
0.100,1.652,1.159,45.532,-20.386,92.224
0.141,1.998,1.123,47.302,-7.874,94.177
0.185,2.084,1.047,30.396,4.089,59.143
0.183,1.906,0.953,11.169,12.207,9.155
0.161,1.576,0.862,-6.409,15.747,-33.813
0.158,1.273,0.808,-13.977,14.587,-59.143
0.165,1.062,0.782,-10.254,10.864,-67.200
0.152,0.932,0.765,-2.686,6.348,-65.613
0.167,0.831,0.757,0.854,2.686,-61.462
0.172,0.729,0.768,4.089,-0.732,-58.899
0.191,0.641,0.776,8.118,-2.441,-54.688
0.213,0.599,0.768,11.230,-0.732,-46.692
0.219,0.579,0.749,15.625,2.502,-37.842
0.223,0.564,0.714,15.015,7.202,-31.921
0.229,0.537,0.671,10.864,11.353,-28.809
0.237,0.504,0.637,7.141,12.390,-26.001

-0.056,1.828,0.729,14.893,75.256,76.782
-0.068,2.045,0.662,10.559,65.369,65.308
-0.058,2.211,0.677,4.150,47.241,43.335
-0.059,2.282,0.797,-4.456,24.231,9.583
-0.091,2.272,0.981,-22.095,7.385,-29.236
-0.118,2.233,1.111,-42.480,6.470,-65.735
-0.130,2.265,1.161,-58.716,20.874,-96.375
-0.152,2.363,1.123,-68.115,40.222,-120.483
-0.233,2.449,1.038,-75.745,56.458,-146.423
-0.293,2.486,0.975,-93.994,62.439,-183.777
-0.335,2.412,1.016,-112.732,52.673,-232.849
-0.399,2.178,1.204,-116.455,33.081,-288.391
-0.441,1.909,1.455,-122.131,21.606,-338.013
-0.496,1.698,1.548,-112.427,31.250,-370.361
-0.551,1.529,1.463,-81.848,54.321,-390.991
-0.593,1.337,1.364,-57.556,73.059,-412.354
-0.703,1.108,1.251,-38.513,83.069,-436.401
-0.813,0.823,1.067,-29.236,88.928,-459.473
-0.861,0.472,0.884,-33.752,91.858,-480.774
-0.894,0.041,0.730,-51.697,93.506,-496.887
-0.844,-0.414,0.667,-97.046,88.989,-501.587
-0.735,-0.887,0.750,-137.573,73.730,-494.690
-0.583,-1.329,0.975,-160.095,54.993,-472.717
-0.441,-1.648,1.246,-171.082,45.654,-433.655
-0.308,-1.840,1.430,-159.119,57.678,-380.859
-0.219,-1.928,1.337,-122.742,90.088,-324.036
-0.107,-1.873,0.966,-88.318,132.568,-268.433
-0.031,-1.695,0.543,-67.505,164.917,-218.262
0.020,-1.498,0.181,-53.650,171.692,-179.749
0.086,-1.346,-0.086,-43.823,157.715,-154.175
0.165,-1.241,-0.218,-41.077,130.066,-138.184
0.235,-1.204,-0.193,-45.349,96.130,-128.479
0.301,-1.175,-0.020,-44.617,65.857,-119.202
0.357,-1.097,0.148,-40.466,48.889,-103.638
0.378,-1.020,0.194,-35.278,51.147,-87.646
0.377,-0.991,0.092,-31.067,66.833,-78.674
0.373,-0.994,-0.099,-30.273,81.726,-72.754
0.387,-0.996,-0.274,-29.846,83.923,-64.087
0.392,-0.967,-0.357,-27.527,72.266,-51.514
0.414,-0.913,-0.354,-23.682,52.856,-38.269
0.430,-0.836,-0.267,-22.705,31.128,-26.062
0.424,-0.821,-0.181,-17.944,17.395,-18.433
0.383,-0.893,-0.193,-14.587,16.785,-16.602
0.364,-1.020,-0.297,-14.343,22.766,-14.893
0.335,-1.151,-0.418,-8.606,23.071,-7.568
0.319,-1.229,-0.477,-2.014,13.916,7.812
0.313,-1.227,-0.471,4.761,-3.174,31.067
0.316,-1.169,-0.390,13.611,-24.170,55.603
0.311,-1.101,-0.265,20.874,-41.992,75.195
0.301,-1.063,-0.167,25.208,-51.208,88.684
0.275,-1.065,-0.139,29.297,-53.223,98.999
0.245,-1.084,-0.152,31.067,-52.917,110.291
0.233,-1.081,-0.128,33.447,-57.617,125.061
0.212,-1.041,-0.035,39.307,-67.993,144.043
0.191,-0.988,0.052,45.288,-76.538,164.856
0.171,-0.934,0.112,48.218,-82.214,184.082
0.123,-0.848,0.185,50.476,-88.623,205.078
0.100,-0.725,0.255,54.443,-96.252,228.027
0.093,-0.561,0.366,56.274,-105.225,250.977
0.039,-0.388,0.496,54.993,-112.427,273.254
0.011,-0.233,0.594,56.335,-113.892,290.710
0.015,-0.059,0.682,59.875,-112.976,302.917
-0.065,0.144,0.773,71.594,-116.943,314.819
-0.038,0.291,0.800,86.365,-118.713,322.937
-0.099,0.351,0.780,90.454,-115.723,321.777
-0.130,0.382,0.745,94.482,-117.188,320.312
-0.208,0.456,0.730,94.482,-121.582,325.317
-0.247,0.543,0.818,79.834,-131.592,328.979
-0.267,0.670,0.994,74.890,-144.043,339.355
-0.330,0.892,1.198,76.416,-148.560,360.779
-0.305,1.303,1.367,70.984,-144.104,385.071
-0.195,1.890,1.459,57.556,-137.695,404.175
-0.092,2.475,1.495,46.082,-127.197,402.100
0.014,2.787,1.379,31.799,-104.065,358.826
0.076,2.554,1.072,9.277,-71.411,268.677
0.031,2.130,0.750,-5.554,-46.997,167.236
0.062,1.370,0.514,-10.681,-45.654,83.679
0.010,0.806,0.631,-42.053,-65.063,58.716
-0.011,0.786,0.958,-48.401,-96.985,109.192
0.039,1.313,1.390,-11.292,-116.577,184.509
0.104,2.121,1.769,20.752,-120.056,246.155
0.138,2.829,1.941,43.030,-90.271,253.662
0.203,3.144,1.808,45.837,-28.931,190.918
0.202,2.929,1.404,41.931,35.339,85.571
0.166,2.302,0.923,40.039,79.834,-19.653
0.137,1.662,0.493,41.382,92.651,-90.454
0.084,1.139,0.336,36.072,69.885,-126.099
0.116,0.720,0.406,23.437,25.635,-128.235
0.166,0.473,0.597,19.836,-7.812,-103.882
0.206,0.431,0.744,15.930,-17.090,-66.833
0.237,0.527,0.814,9.644,-10.925,-30.151
0.242,0.731,0.834,6.226,-0.549,-3.479
0.249,0.854,0.787,3.296,8.972,4.150
0.256,0.848,0.725,-6.714,15.320,-3.174
0.233,0.792,0.674,-12.207,15.320,-12.268
0.242,0.729,0.646,-9.583,11.841,-18.372
0.236,0.661,0.638,-6.287,8.301,-22.156
0.238,0.606,0.617,-3.479,7.385,-23.193
0.239,0.564,0.581,-0.671,7.812,-22.400
0.244,0.543,0.552,0.732,7.874,-19.592

0.066,2.287,0.741,-19.897,-11.963,3.052
0.033,2.764,0.878,-26.001,-34.180,-3.601
-0.086,3.169,1.096,-40.222,-51.270,-32.288
-0.195,3.439,1.253,-63.293,-51.697,-85.083
-0.319,3.475,1.344,-82.947,-41.138,-156.250
-0.400,3.275,1.410,-86.609,-32.471,-232.483
-0.451,3.008,1.486,-73.975,-23.437,-293.579
-0.515,2.816,1.542,-59.265,-5.127,-333.984
-0.632,2.661,1.522,-35.645,24.597,-364.807
-0.752,2.383,1.404,-8.911,58.105,-400.085
-0.889,1.936,1.233,10.437,89.111,-440.918
-1.014,1.385,1.028,15.625,116.577,-474.731
-1.024,0.909,0.914,3.418,131.104,-496.033
-1.049,0.482,0.891,7.446,126.587,-502.747
-1.049,0.125,0.862,18.921,118.286,-493.896
-0.987,-0.174,0.837,14.221,112.793,-479.736
-0.923,-0.523,0.803,4.822,107.361,-466.431
