accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-0.393,0.543,0.854,0.000,1.526,-0.061
-0.400,0.409,0.798,0.000,2.075,-10.193
-0.404,0.302,0.829,0.061,-0.549,-10.742
-0.403,0.265,0.826,-0.183,0.061,-8.850
-0.403,0.268,0.817,0.732,-0.122,-1.221
-0.395,0.340,0.857,2.686,-1.526,3.723

-0.637,1.283,1.074,-19.165,-108.459,65.918
-0.655,1.486,1.254,-15.747,-107.727,51.025
-0.643,1.755,1.678,-3.235,-96.313,9.827
-0.783,2.296,2.090,21.057,-64.148,-0.488
-0.894,2.693,2.113,52.307,-32.104,-50.781
-1.199,1.913,2.140,76.660,24.536,-226.196
-1.226,1.293,2.236,122.314,71.106,-309.082
-1.343,0.485,2.395,154.663,98.083,-321.655
-1.365,0.153,2.460,210.327,151.062,-317.322
-1.416,0.002,2.270,276.184,208.374,-300.293
-1.509,-0.275,2.080,292.786,239.380,-302.429
-1.470,-0.883,1.567,307.068,276.367,-297.668
-1.418,-1.244,1.465,287.903,253.967,-255.859
-1.313,-1.314,1.510,263.916,239.319,-201.904
-1.511,-1.422,1.745,224.121,231.873,-112.549
-1.717,-1.485,2.072,206.299,239.502,-38.513
-2.056,-1.716,2.601,184.326,262.512,33.203
-2.310,-1.771,2.473,181.946,308.044,80.688
-2.710,-1.760,1.633,192.505,385.315,180.908
-2.756,-1.652,0.794,188.660,388.489,291.870
-3.079,-1.658,0.532,173.035,369.263,350.342
-3.166,-1.351,0.533,118.591,322.327,479.492
-3.334,-0.853,0.596,110.535,308.716,594.971
-3.571,-0.163,0.420,133.911,303.040,624.817
-3.650,0.216,0.222,144.226,278.687,660.095
-3.671,0.463,0.313,145.691,260.254,671.936
-3.683,1.415,0.211,164.185,275.024,710.205
-3.447,1.850,-0.189,261.597,309.814,703.003
-2.783,2.915,-1.338,303.711,287.292,625.671
-1.950,2.202,-1.322,308.105,88.867,432.739
-1.789,1.180,-0.674,282.104,-58.899,314.331
-1.702,-0.146,0.241,251.709,-75.195,323.486
-1.949,-0.132,0.349,258.545,-58.228,398.010
-2.046,0.056,0.243,255.493,-58.594,440.979
-2.350,0.441,0.490,213.562,-102.417,446.594
-2.233,1.080,1.047,238.586,-129.272,451.721
-2.097,1.595,1.314,240.906,-127.258,440.308
-1.854,2.528,1.418,264.893,-64.148,363.037
-1.503,2.720,0.890,300.049,-7.202,234.253
-1.416,2.653,0.681,305.786,-0.549,169.861
-1.508,1.813,0.368,303.284,-4.395,40.771
